Monitoring Station,Month,Rainfall,Year
"Borongan, Eastern Samar",Mar,670.5,2021
"Butuan City, Agusan Del Norte",Mar,163.6,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Mar,,2021
"Calapan, Oriental Mindoro",Mar,70.0,2021
"Calayan, Cagayan",Mar,110.6,2021
"Casiguran, Aurora",Mar,298.1,2021
"Catarman, Northern Samar",Mar,412.4,2021
"Catbalogan, Western Samar",Mar,233.0,2021
"Clark International Airport, Pampanga",Mar,35.5,2021
"CLSU, Nueva Ecija",Mar,7.5,2021
"Coron, Palawan",Mar,16.2,2021
"Cotabato City, Maguindanao",Mar,170.2,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Mar,28.5,2021
"Cuyo, Palawan",Mar,124.5,2021
"Daet, Camarines Norte",Mar,542.5,2021
"Dagupan City, Pangasinan",Mar,7.2,2021
"Dauis, Bohol",Mar,122.9,2021
"Davao City, Davao Del Sur",Mar,94.0,2021
"Dipolog, Zamboanga Del Norte",Mar,242.3,2021
"Dumaguete City, Negros Oriental",Mar,46.6,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",Mar,53.7,2021
"General Santos, South Cotabato",Mar,71.0,2021
"Guiuan, Eastern Samar",Mar,260.6,2021
"Hinatuan, Surigao Del Sur",Mar,689.1,2021
"Iba, Zambales",Mar,38.5,2021
"Infanta, Quezon",Mar,199.9,2021
"Itbayat, Batanes",Mar,12.6,2021
"Juban, Sorsogon",Mar,490.6,2021
"Laoag City, Ilocos Norte",Mar,1.2,2021
"Legazpi City, Albay",Mar,355.4,2021
"Lumbia, Misamis Oriental",Mar,,2021
"Maasin, Southern Leyte",Mar,187.2,2021
"Mactan International Airport, Cebu",Mar,90.2,2021
"Malaybalay, Bukidnon",Mar,76.6,2021
"Masbate, Masbate",Mar,133.4,2021
"NAIA (MIA), Pasay City",Mar,44.0,2021
"Port Area (MCO), Manila",Mar,31.2,2021
"Puerto Princesa City, Palawan",Mar,97.9,2021
"Romblon, Romblon",Mar,145.8,2021
"Roxas City, Capiz",Mar,143.5,2021
"San Jose, Occidental Mindoro",Mar,10.9,2021
"Sangley Point, Cavite",Mar,14.3,2021
"Science Garden, Quezon City",Mar,79.6,2021
"Sinait, Ilocos Sur (former Vigan Station)",Mar,0.6,2021
"Surigao, Surigao Del Norte",Mar,408.5,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",Mar,,2021
"Tacloban City, Leyte",Mar,181.8,2021
"Tanay, Rizal",Mar,21.9,2021
"Tayabas, Quezon",Mar,302.2,2021
"Tuguegarao, Cagayan",Mar,25.4,2021
"Virac Synop, Catanduanes",Mar,257.3,2021
"Zamboanga, Zamboanga Del Sur",Mar,96.4,2021
"Alabat, Quezon",Apr,90.9,2021
"Ambulong, Batangas",Apr,11.4,2021
"Aparri, Cagayan",Apr,29.9,2021
"Baguio City, Benguet",Apr,21.3,2021
"Baler, Aurora (Radar)",Apr,70.5,2021
"Basco, Batanes (Radar)",Apr,41.1,2021
"Borongan, Eastern Samar",Apr,316.1,2021
"Butuan City, Agusan Del Norte",Apr,232.9,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Apr,,2021
"Calapan, Oriental Mindoro",Apr,28.4,2021
"Calayan, Cagayan",Apr,42.6,2021
"Casiguran, Aurora",Apr,25.2,2021
"Catarman, Northern Samar",Apr,411.5,2021
"Catbalogan, Western Samar",Apr,271.4,2021
"Clark International Airport, Pampanga",Apr,28.1,2021
"CLSU, Nueva Ecija",Apr,0.8,2021
"Coron, Palawan",Apr,21.2,2021
"Cotabato City, Maguindanao",Apr,234.4,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Apr,0.0,2021
"Cuyo, Palawan",Apr,24.7,2021
"Daet, Camarines Norte",Apr,186.7,2021
"Dagupan City, Pangasinan",Apr,89.8,2021
"Dauis, Bohol",Apr,20.5,2021
"Davao City, Davao Del Sur",Apr,333.2,2021
"Dipolog, Zamboanga Del Norte",Apr,31.7,2021
"Dumaguete City, Negros Oriental",Apr,56.9,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",Apr,19.0,2021
"General Santos, South Cotabato",Apr,110.7,2021
"Guiuan, Eastern Samar",Apr,228.1,2021
"Hinatuan, Surigao Del Sur",Apr,236.4,2021
"Iba, Zambales",Apr,26.7,2021
"Infanta, Quezon",Apr,66.0,2021
"Itbayat, Batanes",Apr,7.3,2021
"Juban, Sorsogon",Apr,215.6,2021
"Laoag City, Ilocos Norte",Apr,0.0,2021
"Legazpi City, Albay",Apr,231.4,2021
"Lumbia, Misamis Oriental",Apr,,2021
"Maasin, Southern Leyte",Apr,170.4,2021
"Mactan International Airport, Cebu",Apr,52.0,2021
"Malaybalay, Bukidnon",Apr,163.6,2021
"Masbate, Masbate",Apr,102.2,2021
"NAIA (MIA), Pasay City",Apr,3.0,2021
"Port Area (MCO), Manila",Apr,9.9,2021
"Puerto Princesa City, Palawan",Apr,90.1,2021
"Romblon, Romblon",Apr,,2021
"Roxas City, Capiz",Apr,48.0,2021
"San Jose, Occidental Mindoro",Apr,3.2,2021
"Sangley Point, Cavite",Apr,4.4,2021
"Science Garden, Quezon City",Apr,59.1,2021
"Sinait, Ilocos Sur (former Vigan Station)",Apr,0.2,2021
"Surigao, Surigao Del Norte",Apr,144.7,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",Apr,,2021
"Tacloban City, Leyte",Apr,169.6,2021
"Tanay, Rizal",Apr,55.0,2021
"Tayabas, Quezon",Apr,90.2,2021
"Tuguegarao, Cagayan",Apr,,2021
"Virac Synop, Catanduanes",Apr,565.9,2021
"Zamboanga, Zamboanga Del Sur",Apr,45.7,2021
"Alabat, Quezon",May,146.0,2021
"Ambulong, Batangas",May,56.6,2021
"Aparri, Cagayan",May,0.0,2021
"Baguio City, Benguet",May,150.6,2021
"Baler, Aurora (Radar)",May,204.8,2021
"Basco, Batanes (Radar)",May,0.0,2021
"Borongan, Eastern Samar",May,484.6,2021
"Butuan City, Agusan Del Norte",May,364.4,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",May,,2021
"Calapan, Oriental Mindoro",May,211.0,2021
"Calayan, Cagayan",May,3.6,2021
"Casiguran, Aurora",May,89.9,2021
"Catarman, Northern Samar",May,124.0,2021
"Catbalogan, Western Samar",May,140.01,2021
"Clark International Airport, Pampanga",May,28.1,2021
"CLSU, Nueva Ecija",May,7.4,2021
"Coron, Palawan",May,91.2,2021
"Cotabato City, Maguindanao",May,440.5,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",May,2.7,2021
"Cuyo, Palawan",May,130.4,2021
"Daet, Camarines Norte",May,102.0,2021
"Dagupan City, Pangasinan",May,171.4,2021
"Dauis, Bohol",May,104.8,2021
"Davao City, Davao Del Sur",May,310.5,2021
"Dipolog, Zamboanga Del Norte",May,409.6,2021
"Dumaguete City, Negros Oriental",May,124.1,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",May,220.6,2021
"General Santos, South Cotabato",May,305.9,2021
"Guiuan, Eastern Samar",May,341.6,2021
"Hinatuan, Surigao Del Sur",May,594.6,2021
"Iba, Zambales",May,82.4,2021
"Infanta, Quezon",May,128.7,2021
"Itbayat, Batanes",May,3.3,2021
"Juban, Sorsogon",May,224.8,2021
"Laoag City, Ilocos Norte",May,69.9,2021
"Legazpi City, Albay",May,240.6,2021
"Lumbia, Misamis Oriental",May,,2021
"Maasin, Southern Leyte",May,164.2,2021
"Mactan International Airport, Cebu",May,120.6,2021
"Malaybalay, Bukidnon",May,272.8,2021
"Masbate, Masbate",May,57.8,2021
"NAIA (MIA), Pasay City",May,6.0,2021
"Port Area (MCO), Manila",May,72.0,2021
"Puerto Princesa City, Palawan",May,249.9,2021
"Romblon, Romblon",May,,2021
"Roxas City, Capiz",May,260.0,2021
"San Jose, Occidental Mindoro",May,22.2,2021
"Sangley Point, Cavite",May,0.2,2021
"Science Garden, Quezon City",May,16.7,2021
"Sinait, Ilocos Sur (former Vigan Station)",May,27.0,2021
"Surigao, Surigao Del Norte",May,434.0,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",May,,2021
"Tacloban City, Leyte",May,209.7,2021
"Tanay, Rizal",May,20.1,2021
"Tayabas, Quezon",May,109.5,2021
"Tuguegarao, Cagayan",May,,2021
"Virac Synop, Catanduanes",May,194.5,2021
"Zamboanga, Zamboanga Del Sur",May,77.7,2021
"Alabat, Quezon",Jun,109.9,2021
"Ambulong, Batangas",Jun,174.6,2021
"Aparri, Cagayan",Jun,179.1,2021
"Baguio City, Benguet",Jun,292.1,2021
"Baler, Aurora (Radar)",Jun,224.2,2021
"Basco, Batanes (Radar)",Jun,133.2,2021
"Borongan, Eastern Samar",Jun,187.0,2021
"Butuan City, Agusan Del Norte",Jun,202.4,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Jun,,2021
"Calapan, Oriental Mindoro",Jun,206.4,2021
"Calayan, Cagayan",Jun,68.4,2021
"Casiguran, Aurora",Jun,223.9,2021
"Catarman, Northern Samar",Jun,152.2,2021
"Catbalogan, Western Samar",Jun,161.6,2021
"Clark International Airport, Pampanga",Jun,214.7,2021
"CLSU, Nueva Ecija",Jun,123.0,2021
"Coron, Palawan",Jun,352.0,2021
"Cotabato City, Maguindanao",Jun,131.6,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Jun,477.8,2021
"Cuyo, Palawan",Jun,334.6,2021
"Daet, Camarines Norte",Jun,100.7,2021
"Dagupan City, Pangasinan",Jun,160.4,2021
"Dauis, Bohol",Jun,216.7,2021
"Davao City, Davao Del Sur",Jun,236.6,2021
"Dipolog, Zamboanga Del Norte",Jun,147.9,2021
